, pin1, pin2, pin3, pin4, pin5, pin6, pin7, pin8, pin9, pin10
3/17 00:00, 21, 22, 21, 20, 20, 21, 21, 21, 22, 21
3/17 12:00, 20, 19, 19, 21, 18, 20, 19, 21, 20, 21
3/18 00:00, 21, 22, 21, 20, 21, 20, 20, 21, 22, 22
3/18 12:00, 22, 22, 21, 21, 22, 21, 21, 21, 23, 23
3/19 00:00, 22, 22, 21, 22, 21, 23, 23, 21, 22, 21
3/19 12:00, 21, 22, 23, 23, 21, 21, 21, 23, 21, 21
3/20 00:00, 22, 23, 21, 22, 22, 21, 21, 21, 23, 23
3/25 12:00, 73, 72, 76, 75, 75, 73, 72, 74, 74, 72
3/26 00:00, 77, 74, 76, 72, 73, 74, 72, 74, 76, 77
3/27 12:00, 71, 72, 75, 74, 72, 73, 72, 75, 74, 72
